country,type,date_start,date_end,policy_id,entry_type,correct_type,update_type,update_level,date_announced,init_country_level,type_sub_cat
Afghanistan,Health Monitoring,2020-03-27,2020-04-17,7828097,new_entry,original,,,2020-03-27,Municipal,
Afghanistan,Internal Border Restrictions,2020-03-29,2020-04-29,6338544,new_entry,original,,,2020-03-29,Municipal,
Afghanistan,Lockdown,2020-03-31,2020-04-21,7600415,new_entry,original,,,2020-03-31,Provincial,
Afghanistan,Lockdown,2020-04-18,2020-05-09,2075503,update,original,Change of Policy,Strengthening,2020-04-17,National,
Afghanistan,Lockdown,2020-04-29,2020-05-13,9797489,new_entry,original,,,2020-04-29,Municipal,
Afghanistan,Lockdown,2020-05-02,2020-05-24,2945802,new_entry,original,,,2020-05-05,National,
Afghanistan,Lockdown,2020-05-02,2020-05-24,2075503,update,original,Change of Policy,Strengthening,2020-05-02,National,
Afghanistan,Lockdown,2020-05-21,2020-05-24,2075503,update,original,End of Policy,Strengthening,2020-05-21,National,
Afghanistan,Restriction and Regulation of Businesses,2020-03-31,2020-04-21,5258768,new_entry,original,,,2020-03-31,Provincial,Retail Businesses
Afghanistan,Restriction and Regulation of Businesses,2020-03-31,2020-04-21,5258768,new_entry,original,,,2020-03-31,Provincial,Restaurants
Afghanistan,Restriction and Regulation of Businesses,2020-03-31,2020-04-21,5258768,new_entry,original,,,2020-03-31,Provincial,Shopping Centers
Afghanistan,Restriction and Regulation of Businesses,2020-04-29,2020-05-13,1530563,new_entry,original,,,2020-04-29,Municipal,Supermarkets/grocery stores
Afghanistan,Restriction and Regulation of Government Services,2020-03-28,2020-04-18,5283179,new_entry,original,,,2020-03-28,Municipal,Regulated government working hours (e.g. work from home policies for government workers)
Afghanistan,Restriction and Regulation of Government Services,2020-04-18,2020-05-09,5283179,update,original,Change of Policy,Strengthening,2020-04-16,Municipal,Regulated government working hours (e.g. work from home policies for government workers)
Afghanistan,Restriction and Regulation of Government Services,2020-04-29,2020-05-13,3477465,new_entry,original,,,2020-04-29,National,Regulations on government meetings (including e.g. suspension of parliament)
Afghanistan,Restriction and Regulation of Government Services,2020-05-07,2020-05-23,5283179,update,original,Change of Policy,Strengthening,2020-05-07,Municipal,Regulated government working hours (e.g. work from home policies for government workers)
Afghanistan,Restrictions of Mass Gatherings,2020-03-31,2020-04-21,1209591,new_entry,original,,,2020-03-31,Provincial,Other mass gatherings not specified above restricted
Afghanistan,Social Distancing,2020-06-06,2020-09-06,9151781,new_entry,original,,,2020-06-06,National,Wearing Masks in all public spaces/everywhere
Albania,Closure and Regulation of Schools,2020-03-09,2020-03-23,8782530,new_entry,original,,,2020-03-09,National,Preschool or childcare facilities (generally for children ages 5 and below)
Albania,Closure and Regulation of Schools,2020-03-09,2020-03-23,8782530,new_entry,original,,,2020-03-09,National,Primary Schools (generally for children ages 10 and below)
Albania,Closure and Regulation of Schools,2020-03-09,2020-03-23,8782530,new_entry,original,,,2020-03-09,National,Secondary Schools (generally for children ages 10 to 18)
Albania,Closure and Regulation of Schools,2020-03-09,2020-03-23,8782530,new_entry,original,,,2020-03-09,National,Higher education institutions (i.e. degree granting institutions)
Albania,Declaration of Emergency,2020-04-21,2020-06-23,312295,update,original,,Relaxing,2020-04-21,National,
Albania,External Border Restrictions,2020-03-14,2020-04-03,8237828,update,original,,,2020-03-13,National,
Albania,Lockdown,2020-03-21,2020-03-23,3417604,new_entry,original,,,2020-03-20,National,
Albania,Lockdown,2020-04-11,2020-04-13,4421969,new_entry,original,,,2020-04-10,National,
Albania,Restrictions of Mass Gatherings,2020-03-08,2020-04-03,439279,new_entry,original,,,2020-03-08,National,
Algeria,Closure and Regulation of Schools,2020-03-12,2020-10-04,3183625,update,original,Change of Policy,Both Strengthening and Relaxing,2020-07-13,National,Preschool or childcare facilities (generally for children ages 5 and below)
Algeria,Closure and Regulation of Schools,2020-03-12,2020-10-04,3183625,update,original,Change of Policy,Both Strengthening and Relaxing,2020-07-13,National,Primary Schools (generally for children ages 10 and below)
Algeria,Closure and Regulation of Schools,2020-03-12,2020-10-04,3183625,update,original,Change of Policy,Both Strengthening and Relaxing,2020-07-13,National,Secondary Schools (generally for children ages 10 to 18)
Algeria,Closure and Regulation of Schools,2020-03-12,2020-10-04,3183625,update,original,Change of Policy,Both Strengthening and Relaxing,2020-07-13,National,Higher education institutions (i.e. degree granting institutions)
Algeria,Closure and Regulation of Schools,2020-03-31,2020-04-05,3183625,update,original,Change of Policy,Strengthening,2020-03-31,National,Preschool or childcare facilities (generally for children ages 5 and below)
Algeria,Closure and Regulation of Schools,2020-03-31,2020-04-05,3183625,update,original,Change of Policy,Strengthening,2020-03-31,National,Primary Schools (generally for children ages 10 and below)
Algeria,Closure and Regulation of Schools,2020-03-31,2020-04-05,3183625,update,original,Change of Policy,Strengthening,2020-03-31,National,Secondary Schools (generally for children ages 10 to 18)
Algeria,Closure and Regulation of Schools,2020-03-31,2020-04-05,3183625,update,original,Change of Policy,Strengthening,2020-03-31,National,Higher education institutions (i.e. degree granting institutions)
Algeria,Closure and Regulation of Schools,2020-05-12,2020-05-29,3183625,update,original,Change of Policy,Strengthening,2020-05-12,National,Preschool or childcare facilities (generally for children ages 5 and below)
Algeria,Closure and Regulation of Schools,2020-05-12,2020-05-29,3183625,update,original,Change of Policy,Strengthening,2020-05-12,National,Primary Schools (generally for children ages 10 and below)
Algeria,Closure and Regulation of Schools,2020-05-12,2020-05-29,3183625,update,original,Change of Policy,Strengthening,2020-05-12,National,Secondary Schools (generally for children ages 10 to 18)
Algeria,Closure and Regulation of Schools,2020-05-12,2020-05-29,3183625,update,original,Change of Policy,Strengthening,2020-05-12,National,Higher education institutions (i.e. degree granting institutions)
Algeria,Closure and Regulation of Schools,2020-08-13,2020-09-17,3472660,new_entry,original,,,2020-07-22,National,Secondary Schools (generally for children ages 10 to 18)
Algeria,Closure and Regulation of Schools,2020-08-13,2020-09-17,3472660,new_entry,original,,,2020-07-22,National,Higher education institutions (i.e. degree granting institutions)
Algeria,Closure and Regulation of Schools,2020-10-04,2020-10-21,3183625,update,original,End of Policy,Strengthening,2020-10-04,National,Preschool or childcare facilities (generally for children ages 5 and below)
Algeria,Closure and Regulation of Schools,2020-10-04,2020-10-21,3183625,update,original,End of Policy,Strengthening,2020-10-04,National,Primary Schools (generally for children ages 10 and below)
Algeria,Closure and Regulation of Schools,2020-10-04,2020-10-21,3183625,update,original,End of Policy,Strengthening,2020-10-04,National,Secondary Schools (generally for children ages 10 to 18)
Algeria,Closure and Regulation of Schools,2020-10-04,2020-10-21,3183625,update,original,End of Policy,Strengthening,2020-10-04,National,Higher education institutions (i.e. degree granting institutions)
Algeria,Closure and Regulation of Schools,2020-10-19,2020-10-21,4810,new_entry,original,,,2020-10-04,National,Primary Schools (generally for children ages 10 and below)
Algeria,Closure and Regulation of Schools,2020-11-02,2020-11-04,126504,new_entry,original,,,2020-10-04,National,Secondary Schools (generally for children ages 10 to 18)
Algeria,Closure and Regulation of Schools,2020-11-12,2020-11-15,9153073,new_entry,original,,,2020-10-04,National,Secondary Schools (generally for children ages 10 to 18)
Algeria,Curfew,2020-03-28,2020-04-11,9069768,new_entry,original,,,2020-03-27,National,
Algeria,Curfew,2020-04-01,2020-04-19,5281677,update,original,Change of Policy,Strengthening,2020-04-01,National,
Algeria,Curfew,2020-04-02,2020-04-19,3404630,new_entry,original,,,2020-04-02,National,
Algeria,Curfew,2020-04-05,2020-04-30,9069768,update,original,Change of Policy,Strengthening,2020-04-05,National,
Algeria,Curfew,2020-04-18,2020-04-29,5289876,new_entry,original,,,2020-04-18,National,
Algeria,Curfew,2020-04-18,2020-04-29,5281677,update,original,Change of Policy,Strengthening,2020-04-18,National,
Algeria,Curfew,2020-04-24,2020-04-29,5281677,update,original,End of Policy,Strengthening,2020-04-23,National,
Algeria,Curfew,2020-05-12,2020-05-29,3404630,update,original,Change of Policy,Strengthening,2020-05-12,National,
Algeria,Curfew,2020-06-14,2020-07-13,4672855,update,original,Change of Policy,Strengthening,2020-06-29,National,
Algeria,Curfew,2020-07-08,2020-07-22,6021725,new_entry,original,,,2020-07-07,Provincial,
Algeria,Curfew,2020-07-09,2020-07-23,6638876,new_entry,original,,,2020-07-09,Provincial,
Algeria,Curfew,2020-07-11,2020-07-25,882903,new_entry,original,,,2020-07-09,Provincial,
Algeria,Curfew,2020-07-12,2020-07-21,7675799,new_entry,original,,,2020-07-11,Provincial,
Algeria,Curfew,2020-07-14,2020-07-28,3976358,new_entry,original,,,2020-07-13,Provincial,
Algeria,Curfew,2020-07-14,2020-08-08,4672855,update,original,End of Policy,Strengthening,2020-08-08,National,
Algeria,Curfew,2020-07-18,2020-07-27,5780522,new_entry,original,,,2020-07-17,Provincial,
Algeria,Curfew,2020-07-18,2020-07-27,4672855,update,original,Change of Policy,Strengthening,2020-07-16,National,
Algeria,Curfew,2020-07-19,2020-07-28,4363340,new_entry,original,,,2020-07-18,Provincial,
Algeria,Curfew,2020-07-24,2020-08-02,487975,new_entry,original,,,2020-07-23,Provincial,
Algeria,Curfew,2020-07-24,2020-08-02,6638876,update,original,Change of Policy,Strengthening,2020-07-25,Provincial,
Algeria,Curfew,2020-07-27,2020-08-10,2590089,new_entry,original,,,2020-07-26,Provincial,
Algeria,Curfew,2020-07-28,2020-08-11,4672855,update,original,Change of Policy,Strengthening,2020-07-26,National,
Algeria,Curfew,2020-07-29,2020-08-12,5486101,new_entry,original,,,2020-07-28,Provincial,
Algeria,Curfew,2020-07-29,2020-08-12,7673505,new_entry,original,,,2020-07-28,National,
Algeria,Curfew,2020-07-29,2020-08-12,882903,update,original,Change of Policy,Strengthening,2020-07-28,Provincial,
Algeria,Curfew,2020-08-06,2020-08-19,9958778,new_entry,original,,,2020-08-05,Provincial,
Algeria,Curfew,2020-08-06,2020-08-19,2927219,new_entry,original,,,2020-08-05,Provincial,
Algeria,Curfew,2020-08-09,2020-08-31,6575137,new_entry,original,,,2020-08-08,National,
Algeria,Curfew,2020-08-13,2020-08-27,9632216,new_entry,original,,,2020-08-12,Provincial,
Algeria,Curfew,2020-08-13,2020-08-27,5047613,new_entry,original,,,2020-08-12,National,
Algeria,Curfew,2020-09-01,2020-09-30,783287,new_entry,original,,,2020-08-31,National,
Algeria,Curfew,2020-10-01,2020-10-30,5415724,new_entry,original,,,2020-09-30,National,
Algeria,Curfew,2020-10-31,2020-11-14,2588024,new_entry,original,,,2020-10-29,National,
Algeria,Curfew,2020-10-31,2020-11-14,5415724,update,original,Change of Policy,Both Strengthening and Relaxing,2020-10-29,National,
Algeria,Curfew,2020-11-10,2020-11-24,4705607,new_entry,original,,,2020-11-02,National,
Algeria,Curfew,2020-11-10,2020-11-24,6377483,new_entry,original,,,2020-11-08,National,
Algeria,Curfew,2020-11-17,2020-12-01,2992197,new_entry,original,,,2020-11-15,National,
Algeria,Curfew,2020-12-02,2020-12-16,4821375,new_entry,original,,,2020-11-30,National,
Algeria,Curfew,2020-12-17,2020-12-31,4821375,update,original,Change of Policy,Strengthening,2020-12-16,National,
Algeria,Health Monitoring,2020-07-15,2020-07-30,1256140,new_entry,original,,,2020-07-16,Provincial,
Algeria,Health Monitoring,2020-07-31,2020-08-04,7849039,new_entry,original,,,2020-07-23,National,
Algeria,Health Monitoring,2020-07-31,2020-08-04,6120025,new_entry,original,,,2020-07-31,Provincial,
Algeria,Health Monitoring,2020-08-13,2020-09-17,1168800,new_entry,original,,,2020-07-22,National,
Algeria,Health Resources,2020-06-20,2020-08-01,2502588,new_entry,original,,,2020-08-12,National,Masks
Algeria,Health Resources,2020-07-03,2020-07-16,6002866,new_entry,original,,,2020-07-03,National,Masks
Algeria,Health Resources,2020-07-07,2020-07-14,2047124,new_entry,original,,,2020-07-07,Provincial,Other Health Materials
Algeria,Health Resources,2020-07-08,2020-07-22,4526786,new_entry,original,,,2020-07-08,Provincial,Other Health Infrastructure
Algeria,Health Resources,2020-07-20,2020-07-27,3385053,new_entry,original,,,2020-07-27,National,Temporary Quarantine Centers
Algeria,Health Resources,2020-07-20,2020-07-27,3385053,new_entry,original,,,2020-07-27,National,Temporary Medical Centers
Algeria,Health Resources,2020-08-13,2020-09-17,9804618,new_entry,original,,,2020-07-22,National,Hand Sanitizer
Algeria,Health Resources,2020-08-13,2020-09-17,9804618,new_entry,original,,,2020-07-22,National,Other Health Materials
Algeria,Health Testing,2020-03-01,2020-07-11,6329716,new_entry,original,,,2020-07-12,Provincial,
Algeria,Health Testing,2020-03-31,2020-07-09,2700914,new_entry,original,,,2020-07-09,Provincial,
Algeria,Health Testing,2020-08-13,2020-09-17,4160569,new_entry,original,,,2020-07-22,National,
Algeria,Hygiene,2020-03-01,2020-05-27,3997459,new_entry,original,,,2020-05-28,National,
Algeria,Hygiene,2020-06-20,2020-06-21,4686115,new_entry,original,,,2020-06-20,National,Hygiene measures for commercial areas
Algeria,Hygiene,2020-06-20,2020-06-21,4686115,new_entry,original,,,2020-06-20,National,Hygiene measures for public areas
Algeria,Hygiene,2020-06-25,2020-06-26,4824424,new_entry,original,,,2020-06-27,Provincial,Hygiene measures for public areas
Algeria,Hygiene,2020-07-31,2020-08-03,2101499,new_entry,original,,,2020-07-26,National,Other Areas Hygiene Measures Applied
Algeria,Hygiene,2020-08-13,2020-09-17,4854188,new_entry,original,,,2020-07-22,National,Other Areas Hygiene Measures Applied
Algeria,Internal Border Restrictions,2020-03-19,2020-12-06,4869413,update,original,End of Policy,,2020-12-06,National,
Algeria,Internal Border Restrictions,2020-03-23,2020-04-11,7123510,new_entry,original,,,2020-03-23,National,
Algeria,Internal Border Restrictions,2020-04-24,2020-05-29,4808272,update,original,End of Policy,,2020-04-24,National,
Algeria,Internal Border Restrictions,2020-05-24,2020-05-25,2184726,new_entry,original,,,2020-05-21,National,
Algeria,Internal Border Restrictions,2020-07-08,2020-07-22,4436029,new_entry,original,,,2020-07-07,Provincial,
Algeria,Internal Border Restrictions,2020-07-09,2020-07-23,4128383,new_entry,original,,,2020-07-09,Provincial,
Algeria,Internal Border Restrictions,2020-07-10,2020-07-19,7574537,new_entry,original,,,2020-07-09,Provincial,
Algeria,Internal Border Restrictions,2020-07-12,2020-07-21,3174953,new_entry,original,,,2020-07-11,Provincial,
Algeria,Internal Border Restrictions,2020-07-18,2020-07-27,1345706,new_entry,original,,,2020-07-16,National,
Algeria,Internal Border Restrictions,2020-07-18,2020-08-08,1345706,update,original,End of Policy,Strengthening,2020-08-08,National,
Algeria,Internal Border Restrictions,2020-07-24,2020-08-02,4128383,update,original,Change of Policy,Strengthening,2020-07-25,Provincial,
Algeria,Internal Border Restrictions,2020-07-28,2020-08-11,1345706,update,original,Change of Policy,Strengthening,2020-07-26,National,
Algeria,Lockdown,2020-04-18,2020-04-29,3609757,update,original,Change of Policy,Strengthening,2020-04-18,National,
Algeria,"New Task Force, Bureau or Administrative Configuration",2020-05-28,2020-05-30,5917787,new_entry,original,,,2020-05-30,National,Existing government entity given new powers
Algeria,"New Task Force, Bureau or Administrative Configuration",2020-06-20,2020-06-21,1754079,new_entry,original,,,2020-06-21,National,Existing government entity given new powers
Algeria,Public Awareness Measures,2020-09-04,2020-09-17,475941,new_entry,original,,,2020-09-04,National,Disseminating information related to COVID-19 to the public that is reliable and factually accurate
Algeria,Quarantine,2020-03-23,2020-04-01,2575757,new_entry,original,,,2020-03-23,National,Self-Quarantine (i.e. quarantine at home)
Algeria,Quarantine,2020-04-18,2020-04-29,2575757,update,original,Change of Policy,Strengthening,2020-04-18,National,Self-Quarantine (i.e. quarantine at home)
Algeria,Quarantine,2020-04-18,2020-04-24,2575757,update,original,End of Policy,Strengthening,2020-04-23,National,Self-Quarantine (i.e. quarantine at home)
Algeria,Restriction and Regulation of Businesses,2020-06-29,2020-07-13,3655612,new_entry,original,,,2020-06-29,National,Shopping Centers
Algeria,Restriction and Regulation of Businesses,2020-06-29,2020-07-13,3655612,new_entry,original,,,2020-06-29,National,Commercial Businesses
Algeria,Restriction and Regulation of Businesses,2020-06-29,2020-07-13,3655612,new_entry,original,,,2020-06-29,National,Agriculture; forestry and fishing
Algeria,Restriction and Regulation of Businesses,2020-07-08,2020-07-22,5877231,new_entry,original,,,2020-07-07,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-08,2020-07-25,6641499,new_entry,original,,,2020-07-08,Provincial,Agriculture; forestry and fishing
Algeria,Restriction and Regulation of Businesses,2020-07-09,2020-07-23,3797482,new_entry,original,,,2020-07-09,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-10,2020-07-19,3341663,new_entry,original,,,2020-07-09,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-12,2020-07-21,9808006,new_entry,original,,,2020-07-11,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-14,2020-07-28,7307939,new_entry,original,,,2020-07-13,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-15,2020-07-30,3081840,new_entry,original,,,2020-07-16,Provincial,Agriculture; forestry and fishing
Algeria,Restriction and Regulation of Businesses,2020-07-18,2020-07-27,8148804,new_entry,original,,,2020-07-16,National,Transportation (land; water and air)
Algeria,Restriction and Regulation of Businesses,2020-07-18,2020-07-27,4188138,new_entry,original,,,2020-07-17,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-18,2020-08-08,8148804,update,original,End of Policy,Strengthening,2020-08-08,National,Transportation (land; water and air)
Algeria,Restriction and Regulation of Businesses,2020-07-19,2020-07-28,2768560,new_entry,original,,,2020-07-18,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-24,2020-08-02,7446940,new_entry,original,,,2020-07-23,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-24,2020-08-02,3797482,update,original,Change of Policy,Strengthening,2020-07-25,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-27,2020-08-10,1168819,new_entry,original,,,2020-07-26,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-28,2020-08-11,8148804,update,original,Change of Policy,Strengthening,2020-07-26,National,Transportation (land; water and air)
Algeria,Restriction and Regulation of Businesses,2020-07-29,2020-08-11,9556531,new_entry,original,,,2020-07-30,National,Agriculture; forestry and fishing
Algeria,Restriction and Regulation of Businesses,2020-07-29,2020-08-12,1628918,new_entry,original,,,2020-07-28,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-07-29,2020-08-12,1314474,new_entry,original,,,2020-07-28,National,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-08-06,2020-08-19,2229081,new_entry,original,,,2020-08-05,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-08-06,2020-08-19,9229935,new_entry,original,,,2020-08-05,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-08-13,2020-08-27,2598203,update,original,Change of Policy,Strengthening,2020-08-12,Provincial,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-08-13,2020-08-27,1314474,update,original,Change of Policy,Strengthening,2020-08-12,National,All or unspecified businesses
Algeria,Restriction and Regulation of Businesses,2020-11-09,2020-11-23,7429210,new_entry,original,,,2020-11-02,National,Other Businesses
Algeria,Restriction and Regulation of Businesses,2020-11-17,2020-12-01,910768,new_entry,original,,,2020-11-15,National,Paid lodgings (e.g. hotels; motels)
Algeria,Restriction and Regulation of Businesses,2020-11-17,2020-12-01,910768,new_entry,original,,,2020-11-15,National,Other Businesses
Algeria,Restriction and Regulation of Businesses,2020-11-17,2020-12-01,7827291,new_entry,original,,,2020-11-15,National,Retail Businesses
Algeria,Restriction and Regulation of Businesses,2020-11-17,2020-12-01,7827291,new_entry,original,,,2020-11-15,National,Restaurants
Algeria,Restriction and Regulation of Businesses,2020-11-17,2020-12-01,7827291,new_entry,original,,,2020-11-15,National,Bars
Algeria,Restriction and Regulation of Businesses,2020-11-17,2020-12-01,7827291,new_entry,original,,,2020-11-15,National,Shopping Centers
Algeria,Restriction and Regulation of Businesses,2020-11-17,2020-12-01,7827291,new_entry,original,,,2020-11-15,National,Commercial Businesses
Algeria,Restriction and Regulation of Businesses,2020-11-17,2020-12-01,7827291,new_entry,original,,,2020-11-15,National,Personal Grooming Businesses (e.g. hair salons)
Algeria,Restriction and Regulation of Businesses,2020-11-17,2020-12-01,7429210,update,original,Change of Policy,Strengthening,2020-11-15,National,Other Businesses
Algeria,Restriction and Regulation of Businesses,2020-12-02,2020-12-16,6033309,new_entry,original,,,2020-11-30,National,
Algeria,Restriction and Regulation of Businesses,2020-12-02,2020-12-16,2033318,new_entry,original,,,2020-11-30,National,Paid lodgings (e.g. hotels; motels)
Algeria,Restriction and Regulation of Businesses,2020-12-02,2020-12-16,2033318,new_entry,original,,,2020-11-30,National,Other Businesses
Algeria,Restriction and Regulation of Businesses,2020-12-02,2020-12-16,7429210,update,original,Change of Policy,Strengthening,2020-11-30,National,Other Businesses
Algeria,Restriction and Regulation of Businesses,2020-12-17,2020-12-31,2120312,new_entry,original,,,2020-12-16,National,
Algeria,Restriction and Regulation of Government Services,2020-03-17,2020-03-31,7428104,new_entry,original,,,2020-03-16,National,Public courts
Algeria,Restriction and Regulation of Government Services,2020-03-22,2020-04-04,3811109,new_entry,original,,,2020-03-21,National,Regulated government working hours (e.g. work from home policies for government workers)
Algeria,Restriction and Regulation of Government Services,2020-03-22,2020-04-04,2770208,new_entry,original,,,2020-03-22,National,
Algeria,Restriction and Regulation of Government Services,2020-05-30,2020-06-13,5180754,new_entry,original,,,2020-05-30,National,Issuing of permits/certificates and/or processing of government documents
Algeria,Restriction and Regulation of Government Services,2020-05-30,2020-06-13,5180754,new_entry,original,,,2020-05-30,National,Regulated government working hours (e.g. work from home policies for government workers)
Algeria,Restriction and Regulation of Government Services,2020-05-30,2020-06-13,9737588,new_entry,original,,,2020-05-30,National,Issuing of permits/certificates and/or processing of government documents
Algeria,Restriction and Regulation of Government Services,2020-05-30,2020-06-13,9737588,new_entry,original,,,2020-05-30,National,Regulated government working hours (e.g. work from home policies for government workers)
Algeria,Restriction and Regulation of Government Services,2020-05-30,2020-06-13,608740,new_entry,original,,,2020-05-30,National,Issuing of permits/certificates and/or processing of government documents
Algeria,Restriction and Regulation of Government Services,2020-05-30,2020-06-13,608740,new_entry,original,,,2020-05-30,National,Regulated government working hours (e.g. work from home policies for government workers)
Algeria,Restriction and Regulation of Government Services,2020-05-30,2020-08-15,351985,update,original,End of Policy,,2020-05-30,Provincial,Beaches
Algeria,Restriction and Regulation of Government Services,2020-05-30,2020-08-15,351985,update,original,End of Policy,,2020-05-30,Provincial,Other public facilities
Algeria,Restriction and Regulation of Government Services,2020-05-31,2020-08-15,9545633,update,original,End of Policy,,2020-05-31,Provincial,Beaches
Algeria,Restriction and Regulation of Government Services,2020-05-31,2020-08-15,9984352,update,original,End of Policy,,2020-05-31,Provincial,Beaches
Algeria,Restriction and Regulation of Government Services,2020-11-17,2020-12-01,8957289,new_entry,original,,,2020-11-15,National,Beaches
Algeria,Restriction and Regulation of Government Services,2020-11-17,2020-12-01,8957289,new_entry,original,,,2020-11-15,National,Other public outdoor spaces
Algeria,Restriction and Regulation of Government Services,2020-11-17,2020-12-01,8839951,new_entry,original,,,2020-11-15,National,Beaches
Algeria,Restriction and Regulation of Government Services,2020-11-17,2020-12-01,8639101,new_entry,original,,,2020-11-17,National,Other public facilities
Algeria,Restriction and Regulation of Government Services,2020-12-02,2020-12-16,1218359,new_entry,original,,,2020-11-30,National,Beaches
Algeria,Restrictions of Mass Gatherings,2020-03-10,2020-07-09,3546819,update,original,End of Policy,,2020-07-09,National,
Algeria,Restrictions of Mass Gatherings,2020-03-10,2020-08-31,6585636,update,original,End of Policy,,2020-03-10,National,Cancellation of a recreational or commercial event
Algeria,Restrictions of Mass Gatherings,2020-03-16,2020-04-05,3672401,new_entry,original,,,2020-03-15,National,Other mass gatherings not specified above restricted
Algeria,Restrictions of Mass Gatherings,2020-03-16,2020-09-15,3672401,update,original,End of Policy,Strengthening,2020-09-10,National,Other mass gatherings not specified above restricted
Algeria,Restrictions of Mass Gatherings,2020-03-18,2021-01-01,8220728,new_entry,original,,,2020-09-16,National,
Algeria,Restrictions of Mass Gatherings,2020-03-18,2020-08-15,564301,update,original,End of Policy,,2020-08-08,National,
Algeria,Restrictions of Mass Gatherings,2020-04-01,2020-04-19,3672401,update,original,Change of Policy,Strengthening,2020-04-01,National,Other mass gatherings not specified above restricted
Algeria,Restrictions of Mass Gatherings,2020-04-18,2020-04-29,3672401,update,original,Change of Policy,Strengthening,2020-04-18,National,Other mass gatherings not specified above restricted
Algeria,Restrictions of Mass Gatherings,2020-11-03,2021-01-01,6589927,new_entry,original,,,2020-11-03,National,
