policy_id,entry_type,correct_type,update_type,update_level,date_announced,date_start,date_end,country,init_country_level,type,type_sub_cat
9362231,update,original,End of Policy,,2020-04-25,2020-04-27,2020-05-13,Australia,Provincial,Health Resources,Unspecified Health Infrastructure
9362231,update,original,End of Policy,,2020-04-25,2020-04-27,2020-05-13,Australia,Provincial,Health Resources,Unspecified Health Staff
4262917,update,original,End of Policy,,2020-08-14,2020-08-14,2020-09-22,Australia,Provincial,Health Resources,Nurses
4262917,update,original,End of Policy,,2020-08-14,2020-08-14,2020-09-22,Australia,Provincial,Health Resources,Unspecified Health Staff
2128580,new_entry,original,,,2020-08-16,2020-08-16,2020-10-12,Australia,Provincial,Health Resources,Masks
2128580,new_entry,original,,,2020-08-16,2020-08-16,2020-10-12,Australia,Provincial,Health Resources,Personal Protective Equipment
2128580,new_entry,original,,,2020-08-16,2020-08-16,2020-10-12,Australia,Provincial,Health Resources,Hand Sanitizer
4657525,update,original,,Strengthening,2020-04-23,2020-04-24,2020-05-08,Australia,Provincial,Health Testing,
8463002,new_entry,original,,,2020-06-02,2020-06-03,2020-06-10,Australia,Provincial,Health Testing,
1979107,new_entry,original,,,2020-06-03,2020-06-03,2020-06-05,Australia,Provincial,Health Testing,Drive-in Testing Centers
1979107,new_entry,original,,,2020-06-03,2020-06-03,2020-06-05,Australia,Provincial,Health Testing,Fixed Health Testing stations (excluding drive-ins)
3949994,new_entry,original,,,2020-09-11,2020-09-11,2020-11-30,Australia,Provincial,Health Testing,
6761627,new_entry,original,,,2020-05-27,2020-05-27,2020-07-09,Australia,Provincial,Internal Border Restrictions,
130356,update,original,Change of Policy,Strengthening,2020-06-15,2020-06-18,2020-08-03,Australia,Provincial,Internal Border Restrictions,
130356,update,original,Change of Policy,Strengthening,2020-07-31,2020-08-03,2020-08-31,Australia,Provincial,Internal Border Restrictions,
130356,update,original,Change of Policy,Strengthening,2020-08-28,2020-08-31,2020-11-28,Australia,Provincial,Internal Border Restrictions,
5814484,new_entry,original,,,2020-02-01,2020-02-01,2020-02-15,Australia,Provincial,Lockdown,
7248141,new_entry,original,,,2020-03-22,2020-03-23,2020-06-01,Australia,Provincial,Lockdown,
5723245,new_entry,original,,,2020-05-21,2020-05-22,2020-06-18,Australia,Provincial,Lockdown,
2790528,new_entry,original,,,2020-06-18,2020-06-18,2020-06-20,Australia,Provincial,Lockdown,
2790528,update,original,Change of Policy,Strengthening,2020-06-18,2020-06-18,2020-08-14,Australia,Provincial,Lockdown,
2586418,update,original,Change of Policy,Both Strengthening and Relaxing,2020-06-20,2020-06-20,2020-07-31,Australia,Provincial,Lockdown,
1510199,update,original,Change of Policy,Strengthening,2020-09-16,2020-09-17,2020-12-17,Australia,Provincial,Lockdown,
972359,new_entry,original,,,2020-03-22,2020-03-22,2020-04-05,Australia,Provincial,"New Task Force, Bureau or Administrative Configuration",New Task Force or Bureau (i.e. establishment of a temporary body)
4853241,update,original,End of Policy,,2020-05-08,2020-05-08,2020-06-12,Australia,National,"New Task Force, Bureau or Administrative Configuration",Other Administrative Configurations
8536437,new_entry,original,,,2020-01-23,2020-01-23,2020-01-28,Australia,National,Other Policy Not Listed Above,
2703044,new_entry,original,,,2020-07-03,2020-07-07,2020-10-05,Australia,Provincial,Other Policy Not Listed Above,
2703044,update,original,Change of Policy,Strengthening,2020-09-18,2020-09-25,2020-12-18,Australia,Provincial,Other Policy Not Listed Above,
673496,update,original,End of Policy,,2020-01-30,2020-01-30,2020-03-15,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
7218488,update,original,End of Policy,,2020-02-01,2020-02-01,2020-03-15,Australia,National,Quarantine,Self-Quarantine (i.e. quarantine at home)
2644359,update,original,End of Policy,,2020-02-29,2020-03-01,2020-03-15,Australia,National,Quarantine,Self-Quarantine (i.e. quarantine at home)
7722975,update,original,End of Policy,,2020-03-05,2020-03-05,2020-03-15,Australia,National,Quarantine,Self-Quarantine (i.e. quarantine at home)
1534778,update,original,End of Policy,,2020-03-16,2020-03-16,2020-03-28,Australia,National,Quarantine,Self-Quarantine (i.e. quarantine at home)
6281315,new_entry,original,,,2020-03-16,2020-03-17,2020-06-15,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
3058219,new_entry,original,,,2020-03-25,2020-03-26,2020-06-23,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
6092567,update,original,End of Policy,Relaxing,2020-03-27,2020-03-28,2020-06-26,Australia,National,Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility)
713243,new_entry,original,,,2020-03-28,2020-03-29,2020-06-25,Australia,Provincial,Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility)
7333852,new_entry,original,,,2020-03-28,2020-03-29,2020-06-25,Australia,Provincial,Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility)
6281315,update,original,End of Policy,,2020-03-28,2020-03-29,2020-06-25,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
628712,update,original,Change of Policy,Strengthening,2020-06-15,2020-06-18,2020-08-03,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
3058219,update,original,Change of Policy,Relaxing,2020-06-16,2020-06-23,2020-09-20,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
1705305,new_entry,original,,,2020-07-07,2020-07-08,2020-10-08,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
1705305,update,original,End of Policy,,2020-07-07,2020-07-08,2020-08-06,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
3058219,update,original,Change of Policy,Strengthening,2020-07-24,2020-07-24,2020-10-21,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
8433226,new_entry,original,,,2020-08-06,2020-08-07,2020-10-09,Australia,Provincial,Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility)
8433226,update,original,End of Policy,,2020-08-06,2020-08-07,2020-10-02,Australia,Provincial,Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility)
7333852,update,original,Change of Policy,Strengthening,2020-09-18,2020-09-21,2020-12-20,Australia,Provincial,Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility)
713243,update,original,Change of Policy,Strengthening,2020-09-20,2020-09-21,2020-12-19,Australia,Provincial,Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility)
9516857,new_entry,original,,,2020-10-01,2020-10-02,2021-01-02,Australia,Provincial,Quarantine,Self-Quarantine (i.e. quarantine at home)
912489,new_entry,original,,,2020-03-19,2020-03-19,2020-05-19,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
912489,new_entry,original,,,2020-03-19,2020-03-19,2020-05-19,Australia,Provincial,Restriction and Regulation of Businesses,Supermarkets/grocery stores
7369938,update,original,End of Policy,,2020-03-23,2020-03-23,2020-03-25,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
7369938,update,original,End of Policy,,2020-03-23,2020-03-23,2020-03-25,Australia,Provincial,Restriction and Regulation of Businesses,Bars
7369938,update,original,End of Policy,,2020-03-23,2020-03-23,2020-03-25,Australia,Provincial,Restriction and Regulation of Businesses,Other Businesses
137943,update,original,End of Policy,Strengthening,2020-03-23,2020-03-23,2020-05-29,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
137943,update,original,End of Policy,Strengthening,2020-03-23,2020-03-23,2020-05-29,Australia,Provincial,Restriction and Regulation of Businesses,Commercial Businesses
137943,update,original,End of Policy,Strengthening,2020-03-23,2020-03-23,2020-05-29,Australia,Provincial,Restriction and Regulation of Businesses,Other Businesses
8504979,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-23,2020-05-14,Australia,National,Restriction and Regulation of Businesses,Restaurants
8504979,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-23,2020-05-14,Australia,National,Restriction and Regulation of Businesses,Commercial Businesses
8504979,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-23,2020-05-14,Australia,National,Restriction and Regulation of Businesses,Other Businesses
456137,update,original,End of Policy,,2020-03-26,2020-03-26,2020-05-17,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
456137,update,original,End of Policy,,2020-03-26,2020-03-26,2020-05-17,Australia,Provincial,Restriction and Regulation of Businesses,Shopping Centers
456137,update,original,End of Policy,,2020-03-26,2020-03-26,2020-05-17,Australia,Provincial,Restriction and Regulation of Businesses,Commercial Businesses
456137,update,original,End of Policy,,2020-03-26,2020-03-26,2020-05-17,Australia,Provincial,Restriction and Regulation of Businesses,Personal Grooming Businesses (e.g. hair salons)
2197362,new_entry,original,,,2020-03-27,2020-03-28,2020-03-31,Australia,Provincial,Restriction and Regulation of Businesses,Retail Businesses
2197362,new_entry,original,,,2020-03-27,2020-03-28,2020-03-31,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
2197362,new_entry,original,,,2020-03-27,2020-03-28,2020-03-31,Australia,Provincial,Restriction and Regulation of Businesses,Bars
2197362,new_entry,original,,,2020-03-27,2020-03-28,2020-03-31,Australia,Provincial,Restriction and Regulation of Businesses,Shopping Centers
2197362,new_entry,original,,,2020-03-27,2020-03-28,2020-03-31,Australia,Provincial,Restriction and Regulation of Businesses,Commercial Businesses
2197362,new_entry,original,,,2020-03-27,2020-03-28,2020-03-31,Australia,Provincial,Restriction and Regulation of Businesses,Personal Grooming Businesses (e.g. hair salons)
2197362,new_entry,original,,,2020-03-27,2020-03-28,2020-03-31,Australia,Provincial,Restriction and Regulation of Businesses,Paid lodgings (e.g. hotels; motels)
2197362,new_entry,original,,,2020-03-27,2020-03-28,2020-03-31,Australia,Provincial,Restriction and Regulation of Businesses,Other Businesses
4824137,new_entry,original,,,2020-12-30,2020-03-31,2020-04-10,Australia,Provincial,Restriction and Regulation of Businesses,Retail Businesses
4824137,new_entry,original,,,2020-12-30,2020-03-31,2020-04-10,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
4824137,new_entry,original,,,2020-12-30,2020-03-31,2020-04-10,Australia,Provincial,Restriction and Regulation of Businesses,Bars
4824137,new_entry,original,,,2020-12-30,2020-03-31,2020-04-10,Australia,Provincial,Restriction and Regulation of Businesses,Shopping Centers
4824137,new_entry,original,,,2020-12-30,2020-03-31,2020-04-10,Australia,Provincial,Restriction and Regulation of Businesses,Commercial Businesses
4824137,new_entry,original,,,2020-12-30,2020-03-31,2020-04-10,Australia,Provincial,Restriction and Regulation of Businesses,Personal Grooming Businesses (e.g. hair salons)
4824137,new_entry,original,,,2020-12-30,2020-03-31,2020-04-10,Australia,Provincial,Restriction and Regulation of Businesses,Supermarkets/grocery stores
4824137,new_entry,original,,,2020-12-30,2020-03-31,2020-04-10,Australia,Provincial,Restriction and Regulation of Businesses,Paid lodgings (e.g. hotels; motels)
4824137,new_entry,original,,,2020-12-30,2020-03-31,2020-04-10,Australia,Provincial,Restriction and Regulation of Businesses,Other Businesses
5503064,new_entry,original,,,2020-04-09,2020-04-10,2020-04-15,Australia,Provincial,Restriction and Regulation of Businesses,Retail Businesses
5503064,new_entry,original,,,2020-04-09,2020-04-10,2020-04-15,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
5503064,new_entry,original,,,2020-04-09,2020-04-10,2020-04-15,Australia,Provincial,Restriction and Regulation of Businesses,Bars
5503064,new_entry,original,,,2020-04-09,2020-04-10,2020-04-15,Australia,Provincial,Restriction and Regulation of Businesses,Shopping Centers
5503064,new_entry,original,,,2020-04-09,2020-04-10,2020-04-15,Australia,Provincial,Restriction and Regulation of Businesses,Commercial Businesses
5503064,new_entry,original,,,2020-04-09,2020-04-10,2020-04-15,Australia,Provincial,Restriction and Regulation of Businesses,Personal Grooming Businesses (e.g. hair salons)
5503064,new_entry,original,,,2020-04-09,2020-04-10,2020-04-15,Australia,Provincial,Restriction and Regulation of Businesses,Supermarkets/grocery stores
5503064,new_entry,original,,,2020-04-09,2020-04-10,2020-04-15,Australia,Provincial,Restriction and Regulation of Businesses,Paid lodgings (e.g. hotels; motels)
5503064,new_entry,original,,,2020-04-09,2020-04-10,2020-04-15,Australia,Provincial,Restriction and Regulation of Businesses,Other Businesses
5474433,new_entry,original,,,2020-04-15,2020-04-15,2020-05-11,Australia,Provincial,Restriction and Regulation of Businesses,Retail Businesses
5474433,new_entry,original,,,2020-04-15,2020-04-15,2020-05-11,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
5474433,new_entry,original,,,2020-04-15,2020-04-15,2020-05-11,Australia,Provincial,Restriction and Regulation of Businesses,Bars
5474433,new_entry,original,,,2020-04-15,2020-04-15,2020-05-11,Australia,Provincial,Restriction and Regulation of Businesses,Shopping Centers
5474433,new_entry,original,,,2020-04-15,2020-04-15,2020-05-11,Australia,Provincial,Restriction and Regulation of Businesses,Commercial Businesses
5474433,new_entry,original,,,2020-04-15,2020-04-15,2020-05-11,Australia,Provincial,Restriction and Regulation of Businesses,Personal Grooming Businesses (e.g. hair salons)
5474433,new_entry,original,,,2020-04-15,2020-04-15,2020-05-11,Australia,Provincial,Restriction and Regulation of Businesses,Supermarkets/grocery stores
5474433,new_entry,original,,,2020-04-15,2020-04-15,2020-05-11,Australia,Provincial,Restriction and Regulation of Businesses,Paid lodgings (e.g. hotels; motels)
5474433,new_entry,original,,,2020-04-15,2020-04-15,2020-05-11,Australia,Provincial,Restriction and Regulation of Businesses,Other Businesses
8318074,new_entry,original,,,2020-05-09,2020-05-11,2020-05-22,Australia,Provincial,Restriction and Regulation of Businesses,Retail Businesses
8318074,new_entry,original,,,2020-05-09,2020-05-11,2020-05-22,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
8318074,new_entry,original,,,2020-05-09,2020-05-11,2020-05-22,Australia,Provincial,Restriction and Regulation of Businesses,Bars
8318074,new_entry,original,,,2020-05-09,2020-05-11,2020-05-22,Australia,Provincial,Restriction and Regulation of Businesses,Shopping Centers
8318074,new_entry,original,,,2020-05-09,2020-05-11,2020-05-22,Australia,Provincial,Restriction and Regulation of Businesses,Commercial Businesses
8318074,new_entry,original,,,2020-05-09,2020-05-11,2020-05-22,Australia,Provincial,Restriction and Regulation of Businesses,Personal Grooming Businesses (e.g. hair salons)
8318074,new_entry,original,,,2020-05-09,2020-05-11,2020-05-22,Australia,Provincial,Restriction and Regulation of Businesses,Supermarkets/grocery stores
8318074,new_entry,original,,,2020-05-09,2020-05-11,2020-05-22,Australia,Provincial,Restriction and Regulation of Businesses,Paid lodgings (e.g. hotels; motels)
8318074,new_entry,original,,,2020-05-09,2020-05-11,2020-05-22,Australia,Provincial,Restriction and Regulation of Businesses,Other Businesses
5963324,new_entry,original,,,2020-05-14,2020-05-15,2020-08-14,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
5963324,new_entry,original,,,2020-05-14,2020-05-15,2020-08-14,Australia,Provincial,Restriction and Regulation of Businesses,Bars
5963324,new_entry,original,,,2020-05-14,2020-05-15,2020-08-14,Australia,Provincial,Restriction and Regulation of Businesses,Commercial Businesses
5963324,new_entry,original,,,2020-05-14,2020-05-15,2020-08-14,Australia,Provincial,Restriction and Regulation of Businesses,Personal Grooming Businesses (e.g. hair salons)
3968553,update,original,End of Policy,,2020-05-14,2020-05-15,2020-08-14,Australia,Provincial,Restriction and Regulation of Businesses,All or unspecified businesses
7101233,new_entry,original,,,2020-05-22,2020-05-22,2020-06-01,Australia,Provincial,Restriction and Regulation of Businesses,Retail Businesses
7101233,new_entry,original,,,2020-05-22,2020-05-22,2020-06-01,Australia,Provincial,Restriction and Regulation of Businesses,Restaurants
7101233,new_entry,original,,,2020-05-22,2020-05-22,2020-06-01,Australia,Provincial,Restriction and Regulation of Businesses,Bars
7101233,new_entry,original,,,2020-05-22,2020-05-22,2020-06-01,Australia,Provincial,Restriction and Regulation of Businesses,Shopping Centers
7101233,new_entry,original,,,2020-05-22,2020-05-22,2020-06-01,Australia,Provincial,Restriction and Regulation of Businesses,Commercial Businesses
7101233,new_entry,original,,,2020-05-22,2020-05-22,2020-06-01,Australia,Provincial,Restriction and Regulation of Businesses,Personal Grooming Businesses (e.g. hair salons)
7101233,new_entry,original,,,2020-05-22,2020-05-22,2020-06-01,Australia,Provincial,Restriction and Regulation of Businesses,Supermarkets/grocery stores
7101233,new_entry,original,,,2020-05-22,2020-05-22,2020-06-01,Australia,Provincial,Restriction and Regulation of Businesses,Other Businesses
7101233,new_entry,original,,,2020-05-22,2020-05-22,2020-06-01,Australia,Provincial,Restriction and Regulation of Businesses,Paid lodgings (e.g. hotels; motels)
6540153,new_entry,original,,,2020-05-29,2020-06-01,2020-06-19,Australia,Provincial,Restriction and Regulation of Businesses,Retail Businesses
