Source,,RecordedDate,Duration (in seconds),cf_insight1,cf_insight1_Justify,cf_insight_1_Timer_Page Submit,cf_insight2,cf_insight2_Justify,cf_insight2 Timer_Page Submit,cf_insight3,cf_insight3_Justify,cf_insight3 Timer_Page Submit,cf_Justification,st_insight1,st_insight1_Justify,st_insight_1_Timer_Page Submit,st_insight2,st_insight2_Justify,st_insight2 Timer_Page Submit,st_insight3,st_insight3_Justify,st_insight3 Timer_Page Submit,st_Justification,ss_insight1,ss_insight1_Justify,ss_insight_1_Timer_Page Submit,ss_insight2,ss_insight2_Justify,ss_insight2 Timer_Page Submit,ss_insight3,ss_insight3_Justify,ss_insight3 Timer_Page Submit,ss_Justification,Dataset,MSP,completionID,PROLIFIC_PID
Acquintance,Yes,3/19/2022 12:48:43,1621,Agree,,32.278,Disagree,,17.212,Disagree,,14.593,Better Info,Agree,,21.204,Disagree,,22.034,Disagree,,78.102,Info are inaccurate somewhat,Agree,,83.521,Agree,,53.407,Disagree,,103.756,Some of the info are ambiguous to describe the real fact,0,1,150367,5
Prolific,Yes,3/19/2022 13:16:06,930,Strongly agree,,72.044,Neither agree nor disagree,,34.496,Strongly disagree,,56.048,"There is nothing here that shows a ""going back"" behavior. All 24 continued along the ""discharge alive"" path.",Strongly agree,,12.543,Agree,,19.438,Strongly disagree,,62.047,"The activity of ""going back"" to the ICU is not illustrated in image. I would expect a branch, as was indicated after the emergency stage in the graph.",Strongly agree,,47.086,Strongly agree,,22.649,Neither agree nor disagree,,93.598,The image is somewhat difficult to understand because it feels like the numbers don't seem to add up. I presume that's related to the parallel alignment of the floor and ICU events in the last two columns of the image.,0,2,673442,5dcb24a0f3795b7f9c72b6ec
Prolific,Yes,3/21/2022 19:43:34,897,Strongly agree,,13.407,Agree,,10.84,Disagree,,12.184,This chart is spaced out very well and has little to no ambiguity. Each outcome is clearly labeled and everyone is accounted for. ,Strongly agree,,15.212,Somewhat agree,,13.799,Disagree,,49.449,The image has a good flow and is generally easy to follow. It splits off in logical ways and has minimal ambiguity in the outcomes of everyone. ,Strongly agree,,35.859,Disagree,,22.571,Somewhat disagree,,47.22,"The image is relatively easy to follow overall, particular the first and second ones from the left (for 12 and 37 patients). The general flow of what the patients went through is clear. There is no ambiguity in what happened to patients that were no longer counted in the 12 and 37 chart, as the total number remained the same throughout. That being said, the 24 and 27 charts were still easy to understand, as I was able to infer that those excluded from the final number had a different outcome from the one stated at the end. If the final one is the number of those of were discharged alive, the numbers excluded have died, and vice versa.",0,2,475999,5fe33b2f46872ef2fb28db7b
Prolific,Yes,4/4/2022 23:15:02,528,Agree,,54.821,Somewhat agree,,10.878,Disagree,,14.065,There isn't a split after the floor,Agree,,10.945,Disagree,,22.418,Somewhat disagree,,167.933,Some splits feel a bit unlabeled but overall these images are better,Somewhat disagree,,40.225,Somewhat agree,,27.087,Somewhat disagree,,32.469,The image is a bit small and everything is widely spaced,0,2,183483,5781c15381f331000139a89e
Acquintance,Yes,3/20/2022 6:52:55,11806,Agree,,61.063,Somewhat agree,,30.765,Neither agree nor disagree,,59.565,average for understanding,Strongly agree,,257.804,Agree,,11.32,Neither agree nor disagree,,39.078,somewhat difficult,Strongly agree,,1638.714,Strongly agree,,33.695,Neither agree nor disagree,,538.937,Quite Difficult,0,2,788696,3
Acquintance,Yes,3/21/2022 21:57:14,2429,Strongly agree,,68.099,Somewhat agree,,57.351,Disagree,,77.892,24 were discharged the fact was not a fact at all,Strongly agree,,50.724,Somewhat agree,,23.308,Neither agree nor disagree,,242.565,image was getting hard to understand,Strongly agree,,83.658,Strongly disagree,,88.16,Disagree,,250.434,facts were wrong,0,2,105647,6
Prolific,Yes,3/17/2022 17:22:20,230,Agree,,14.897,Somewhat agree,,17.702,Agree,,11.136,I had more difficulty with this image and trying to rate the people and their floor,Somewhat agree,,26.995,Somewhat agree,,11.163,Neither agree nor disagree,,11.618,I tried to follow the map for the number of people but it was hard,Agree,,12.519,Agree,,13.51,Agree,,14.697,I tried to look at the amount of peopel that made it out and what floor they were on when decidiong what rating.,0,3,739562,60b98e805f90520bd582802d
Prolific,Yes,3/17/2022 17:25:43,582,Strongly agree,,25.382,Strongly disagree,,27.556,Strongly disagree,,22.991,"This is easier to understand that the two prior. But still, without fully accounting for everyone that arrived, the chart does not have clinical meaning.",Strongly disagree,,83.222,Strongly disagree,,28.084,Strongly disagree,,29.953,"the numbers did not add up correctly. Total arrival was 100, discharge alive upon arrival was 38+die after ICU was 36+discharge alive after ICU=24=98. The chart misses 2.",Strongly agree,,34.158,Strongly disagree,,14.216,Strongly disagree,,29.027,"The images are easier to understand, because it delineates different threads of event. But the difficult part is the line that start with 24 and 37 people did not have the full account for everyone entering the threads",0,3,409931,612d20ea1043719545f90f62
Prolific,Yes,3/17/2022 17:27:47,552,Strongly agree,,21.913,Somewhat agree,,19.352,Strongly disagree,,30.173,"It's 24, not 22 and according to chart, all 24 are discharged alive with 0 (zero) going back to ICU.",Agree,,32.471,Somewhat disagree,,14.902,Strongly disagree,,26.922,"Numbers on diagram do not correlate to facts presented in scenario, and this whole flow chart is difficult to read. If everyone arriving goes to ER, why are there two separate data sets instead of just Arrival at ER, which would simplify things?",Strongly agree,,80.11,Somewhat agree,,23.183,Strongly disagree,,30.101,"Arrival - ER - Floor shows 27 people, not 22 as described. 24 then go to ICU & 12 die. Not clear what happened to other 3 (27 from ER to Floor, but only 24 to ICU)",0,3,376665,5dcf4136cf8e7e086ea019e4
Prolific,Yes,3/17/2022 17:34:34,1073,Strongly agree,,41.114,Strongly disagree,,19.731,Strongly agree,,28.543,The images are easy to understand. I can answer the questions accurately based on that.,Strongly agree,,387.868,Strongly disagree,,23.595,Strongly agree,,12.061,It was fairly easy to come to the information needed,Strongly agree,,131.021,Strongly agree,,11.237,Strongly agree,,12.75,It was a little more difficult to co e to the needed answers,0,3,405658,5dd4767b32288646716dc98a
Acquintance,Yes,3/10/2022 1:22:47,1289,Strongly agree,,84.656,Disagree,,86.803,Strongly disagree,,41.62,"there are two people missing from ICU to either floor or die, where did they go?",Agree,,98.212,Somewhat agree,,77.058,Disagree,,52.089,the number does not add up,Neither agree nor disagree,,149.332,Strongly disagree,,67.722,Strongly disagree,,120.226,after getting discharged whether they go to normal floor or ICU is not clear,0,3,315142,4
Prolific,Yes,3/17/2022 18:05:44,556,Strongly agree,,20.576,Strongly agree,,13.797,Strongly disagree,,16.281,I find it easy to follow the linear diagram and understand the paths of the patients. The information missing is the right branch after patients move from iCU,Strongly agree,,50.764,Strongly agree,,21.161,Strongly disagree,,33.941,"The image is fairly easy to understand, as the linear paths can be followed and the corresponding numbers follow each point.",Disagree,,38.111,Disagree,,19.049,Disagree,,42.711,"I don't understand these images. The numbers don't add up to the activities in the text, making it confusing.",0,4,611263,61267fe88fba42b5f3b9c9ea
Prolific,Yes,3/17/2022 18:13:52,544,Strongly agree,,11.901,Somewhat disagree,,147.892,Disagree,,22.341,it is impossible to tell what happens after the ICU for the 26 people that did not die,Agree,,14.117,Somewhat disagree,,61.024,Somewhat disagree,,14.937,"After the ICU, there is not mention of a normal floor",Agree,,56.116,Somewhat agree,,26.051,Strongly disagree,,40.325,It looks like only 20 people were discharged alive,0,4,107733,6110ae0070c014a099ee9d25
Prolific,Yes,3/30/2022 3:51:02,1573,Strongly agree,,41.678,Strongly disagree,,22.984,Strongly disagree,,21.294,There is nothing on the figure that represents 7 people or another number that was not shown on the figure.,Strongly agree,,163.65,Strongly disagree,,183.246,Strongly disagree,,344.986,The descriptor gives us number like 17 which are not even on the figure so we cannot assume it is correct.,Strongly disagree,,54.222,Strongly disagree,,28.419,Strongly disagree,,10.991,"Too many figures, difficult to understand which on it is referring to.",0,4,393258,600b3c619b60d80b64f9de39
Prolific,Yes,3/30/2022 14:50:53,317,Agree,,11.314,Somewhat agree,,14.663,Disagree,,21.028,This image is easy to understand and made the questions easy to answer as well because the path the numbers take is quite simple.,Strongly agree,,10.987,Somewhat agree,,11.101,Disagree,,10.972,The image is easy to understand and the numbers follow a simple path which made the questions easy to answer.,Strongly agree,,24.315,Strongly disagree,,15.349,Disagree,,28.8,If the numbers matched what the questions asked it was quite simple to say it was true or not.,0,4,720060,5e3b259c586b02339e5cb448
Acquintance,Yes,3/14/2022 6:48:50,4696,Strongly agree,,28.51,Strongly agree,,28.442,Disagree,,39.107,I think floor room activities are not shown in the image,Strongly agree,,12.366,Strongly agree,,11.334,Disagree,,11.026,I think floor room activities are not shown in the image,Agree,,38.859,Disagree,,43.696,Disagree,,67.057,I think the activities in the fact are not shown in the image,0,4,931350,6
Acquintance,Yes,3/27/2022 12:32:01,1201,Agree,,54.802,Agree,,12.76,Neither agree nor disagree,,65.953,The activity of normal floor is not clearly explained.,Strongly agree,,11.464,Strongly agree,,15.87,Somewhat agree,,42.526,Is is easy to understand.,Strongly agree,,17.813,Disagree,,25.013,Disagree,,45.173,Last question( go back to icu) is not clear in the image.,0,4,383569,6
Prolific,Yes,3/17/2022 19:14:51,617,Strongly agree,,15.002,Agree,,11.846,Strongly disagree,,56.847,The image numbers do not align with the data presented.  Patients are not depicted going back to the ICU.,Strongly agree,,13.918,Agree,,11.709,Strongly disagree,,29.294,The numbers in the image do not align with the data given.  There is no depiction of patients going to a normal floor.,Strongly agree,,33.978,Agree,,52.381,Strongly disagree,,82.196,"The image does not display patients going back to the ICU.  Twenty three, not twenty two patients went to thefloor from ICU, with a total of twenty four, not twenty two, goinf through this flow.",0,5,814102,5c5f8a910edbd90001e1feda
Prolific,Yes,3/30/2022 12:41:54,349,Strongly agree,,10.663,Strongly disagree,,10.804,Strongly disagree,,14.8,"We don't know what happen to the other 26, some might go back to icu, but we just don't know. The number should be 38 not 37. Going from arrival to ER is shown.",Strongly agree,,21.745,Strongly disagree,,16.265,Strongly disagree,,37.612,"The arrival to Emergency is shown to be fact, but the one that said 37 are discharged alive is wrong, it's 38. And the last one, out of the 62 people that go to icu, 36 die, but the others stay in icu, not move.",Strongly agree,,11.578,Strongly agree,,11.15,Strongly disagree,,23.318,"For the last one, the data just isn't shown, but for the other ones it is.",0,5,424794,620296d3ef1cb18a1337bfdd
Prolific,Yes,3/30/2022 12:45:44,536,Strongly agree,,34.728,Strongly agree,,11.331,Strongly disagree,,27.918,The first two facts are obvious from the image. 100 patients went to the emergency room and about a third of them were then discarged alive. The third face doesnt have enough information on the image to answer.,Strongly agree,,176.402,Strongly agree,,11.393,Strongly disagree,,20.753,This image doesnt show people going to the normal floor. This shows that people go to the ICU and 36 died,Strongly agree,,11.315,Strongly agree,,11.682,Strongly disagree,,34.568,More than 12 people are discharges alive after going to the icu and then the normal floor.,0,5,110751,5e483052a742a3000f7c15e8
Prolific,Yes,4/1/2022 9:10:48,808,Strongly agree,,25.601,Somewhat agree,,42.941,Strongly disagree,,48.791,"The fact about how many were discharged alive from ER was numerically wrong (38, not 37).  We can't say anything about people who went to the normal floor, because that literally isn't included in the data visualized.",Strongly agree,,11.222,Somewhat disagree,,21.461,Strongly disagree,,19.358,"No data given on entry to or alive discharge from normal floor.  And again, got the count of people discharged from ER wrong (37 vs 38)",Strongly agree,,40.611,Strongly disagree,,50.565,Strongly disagree,,104.996,"The image seems clear enough to me.  I forget the exact details of the ""facts"" asked about, but at least 2 ""facts"" were not consistent with the image.  There was one ""fact"" based on the 3rd path way that didn't even match the number of patients anywhere on that path.",0,5,301282,60833ce5197d68cff9df1b83
Prolific,Yes,4/1/2022 21:16:38,1267,Strongly agree,,55.697,Somewhat agree,,44.838,Strongly disagree,,75.224,"The image is quite easy to understand, at least I am fairly certain that I am interpreting it correctly. However, I am not able to verify that the previous fact is correct based on this image alone. It does not show what happens to the patients after they are discharged from the ICU and whether or not they are returned to the ICU after being discharged. It actually does not even show that the patients were even discharged from the ICU...it just appears that 26 were sent to the ICU and the graph continues downward...we don't exactly know what happens next, except that they do not die. ",Strongly agree,,15.72,Somewhat agree,,14.08,Strongly disagree,,93.873,This graph shows nothing of the sort. Or I am just completely confused as to how to interpret it. It shows nothing in regards to the patients who moved from the ICU to a normal floor...and once again there is no illustration proving that anyone went back to the ICU.,Agree,,76.921,Strongly agree,,21.336,Strongly disagree,,156.224,I just do not see where the 22 patients is coming from...I can follow along with the patients going from arriving to emergency to ICU to floor....but then we see where 20 of that route of patients were discharged alive....we do not see what happens to those remaining patients. I do not see where anyone is returning to the ICU. ,0,5,485249,5fc1c035ac92312b4c2e6bab
Acquintance,Yes,3/16/2022 12:05:46,1085,Strongly agree,,12.946,Disagree,,12.027,Strongly disagree,,33.474,Numbers don't match,Strongly agree,,28.601,Disagree,,25.428,Strongly disagree,,31.776,Numbers don't match,Strongly agree,,40.383,Somewhat disagree,,34.592,Strongly disagree,,100.41,Numbers don't match with that from the image. ,0,5,506143,6
Prolific,Yes,3/15/2022 13:45:39,830,Somewhat disagree,,46.133,Somewhat agree,,11.289,Neither agree nor disagree,,19.641,"gcs, one of the activities in the fact, was not shown in the image at all. There are pathways with just numbers and no  label at all for what these numbers represent.",Disagree,,71.829,Somewhat agree,,17.543,Disagree,,81.619,"The image is difficult to follow because there is a part of the graphic where pathways overlap and it is hard to attribute which data goes to which step in the checkup because they are all the same color.  For example, after checking pupil,  you can easily mix up whether  it's 26 or 47 patients who then have a secondary survey  next or if it's 26 or 47 patients who have gcs next because the numbers and pathways are close to each other.",Disagree,,59.998,Agree,,11.357,Somewhat disagree,,30.22,The image was difficult to understand because I had a hard time realizing that each of the lines are part of an overall patient population. I kept interpreting the image as a collection of data for different children's checkups that came from different places versus realizing it's all supposed to add up to 215 patients from one data set.,1,0,601966,5f0a5a99dbbf721316f118e2
Prolific,Yes,3/17/2022 21:34:13,386,Strongly disagree,,16.138,Agree,,21.256,Neither agree nor disagree,,10.994,It didn't show gcs or secondary survey so I couldn't draw conclusions. ,Somewhat agree,,30.86,Somewhat agree,,31.622,Somewhat disagree,,26.687,Only a small number of gcs came after secondary survey. The image is difficult to follow. ,Somewhat agree,,13.18,Somewhat agree,,11.399,Disagree,,10.988,Most people followed the recommended order. It's a bit difficult to understand. The activities not shown are the diagnosis results.,1,0,691245,5d96eeed1998fb00177f6b71
Prolific,Yes,3/20/2022 12:25:13,856,Strongly disagree,,35.84,Strongly disagree,,19.701,Strongly disagree,,12.454,"The order of the description is ""airway→ breathing → pulse → gcs → secondary_survey"".  The graph shows pupil and temp which isn't explained if they are part of gcs, secondary survey, or just wrong.",Somewhat agree,,68.658,Somewhat agree,,17.247,Neither agree nor disagree,,29.893,"Genral the graph shows the instructions for the patients, but where does ""pupil"" come in?  It is never mentioned yet everyone performs the action.  I disagree with an obvious majority doing the secondary survey before gcs as the graph labels and the graph numbers can be ambiguously linked.",Strongly disagree,,60.654,Strongly disagree,,61.723,Strongly disagree,,91.083,"According to the instructions there is a set of logical steps.  Some of they instructions stated that only a percentage of  people followed the proper order.  The graph doesn't show the proper order in any of the columns, doesn't label the columns, explain the difference in column widths, or the scale of the columns.",1,0,605566,614f7f23fc5a8f932e992ec3
Acquintance,Yes,3/8/2022 17:10:42,1627,Somewhat agree,The flow of information is showing better representation,47.481,Somewhat agree,Different paths show different variation.,34.012,Disagree,Can find proper information.,47.129,,Somewhat disagree,Overlapping branch is confusing.,141.037,Somewhat disagree,Overlapping branched is confusing to conclude.,71.025,Disagree,Overlapping branch not helpful.,20.659,,Somewhat disagree,Their is too much data presented at once.,83.54,Somewhat agree,It can be seen their order is not the same.,47.676,Disagree,"Too much information is presented at once. Therefore, we have no clear idea where to look.",63.209,,1,0,273883,4
Acquintance,Yes,3/15/2022 17:42:44,7122,Strongly disagree,No gcs present in the event sequence,128.215,Somewhat agree,Yes. There are couple of deviations that are of different kinds.,141.285,Strongly disagree,Not enough info in the visualization,368.266,,Disagree,"out of 214 patients, only 47 patients followed the prespecified ordering.",874.135,Somewhat agree,"There were some deviations, but not many.",97.048,Disagree,"For example for 47+26 patients taking the secondary survey, only 13 patients had gcs. So not true.",1089.902,,Strongly agree,70+49 patients took this pathway,254.758,Somewhat agree,There were 6 other pathways taken.,84.849,,,,,1,0,204677,6
Acquintance,Yes,3/18/2022 23:30:59,2773,Strongly disagree,,49.497,Agree,,36.563,Neither agree nor disagree,,17.207,"The image does not show all the terms (e.g. gcs, secondary surgery) needed to validate the fact. ",Agree,,302.357,Somewhat disagree,,83.266,Disagree,,42.525,"The image is not that clear to understand, I had to think and figure out what the image says. I think some arrows could help to follow the sequences.",Disagree,,79.999,Agree,,15.491,Disagree,,19.513,This image was easy to figure out ,1,0,825534,6
Prolific,Yes,3/17/2022 15:47:34,819,Disagree,,26.639,Somewhat disagree,,11.015,Strongly disagree,,18.552,Airway and gcs are not listed on the graph. No data point to concentrate on.,Strongly disagree,,267.732,Disagree,,76.298,Disagree,,24.4,I find this image really hard to understand. I have no background in reading it so it does not make a lot of sense to me.,Agree,,46.846,Disagree,,30.187,Disagree,,18.486,"Airway, breathing, pulse, gcs clearly indicated for 191 patients. Secondary exam can be particular to examiner.",1,1,771907,5f402eb4fbd8df145068b805
Prolific,Yes,3/18/2022 10:14:44,645,Strongly disagree,,33.498,Agree,,16.189,Strongly disagree,,11.96,"In a couple of the questions, the answer couldn't be determined because the activity wasn't even listed.",Somewhat disagree,,153.874,Agree,,30.515,Agree,,53.162,"The imagine is somewhat difficult to understand for answering the very first question about the image, plus there are several times where the process deviates at a different point.",Agree,,58.565,Somewhat agree,,16.218,Strongly disagree,,17.399,At least one of the images relating to each fact made it easy to determine the correct answer.,1,1,627989,5f18ff404f90fe1473c2e3b6
Prolific,Yes,3/22/2022 8:22:37,579,Disagree,,59.5,Strongly disagree,,23.736,Strongly disagree,,69.801,"The image is easy to read. Some of the items I am looking for are not present in the image. I was asked about the GPS, but that isn't on the image at all.",Agree,,51.283,Strongly disagree,,17.698,Disagree,,30.065,"The image is easy to read, but not all the activities are done in the order they should have been done.",Agree,,15.732,Neither agree nor disagree,,18.709,Strongly disagree,,18.746,The image is easy to read. It is a little easier following the path this way then the other way it could be set up.,1,1,842739,5a95fee189de8200013eddd4
Acquintance,Yes,3/9/2022 3:47:33,1236,Agree,No airway in the sequence.,117.51,Agree,There are many other alternative pathways taken.,95.078,Agree,No gcs in the sequence diagram,66.184,,Agree,There is a pupil step in between,117.115,Agree,There are many other pathways.,62.241,Strongly agree,"No, at most 6 patients.",112.188,,Strongly agree,191 patients.,68.023,Strongly agree,Only 2 different pathways taken. ,58.564,Strongly agree,No GCS after secondary survey.,79.546,,1,1,504608,6
Acquintance,Yes,3/19/2022 22:01:43,2042,Disagree,,49.104,Neither agree nor disagree,,32.967,Disagree,,16.775,Image is difficult,Agree,,126.754,Agree,,13.232,Agree,,18.116,Image is easy,Disagree,,146.549,Disagree,,48.711,Disagree,,49.656,The image is difficult to understand,1,1,241193,6
