Record,Method,Dataset,Task,Insight,MSP,completionID,Timer,Duration (in seconds),LikertValue,LikertScale
91,Coreflow,Trauma,Anomaly detection,Insight2,0,691245,21.256,386,Agree,6
94,SeqSynopsis,Trauma,Anomaly detection,Insight2,0,601966,11.357,830,Agree,6
95,Sententree,Trauma,Anomaly detection,Insight1,0,825534,302.357,2773,Agree,6
95,Coreflow,Trauma,Anomaly detection,Insight2,0,825534,36.563,2773,Agree,6
95,SeqSynopsis,Trauma,Anomaly detection,Insight2,0,825534,15.491,2773,Agree,6
96,SeqSynopsis,Trauma,Anomaly detection,Insight1,1,771907,46.846,819,Agree,6
97,SeqSynopsis,Trauma,Anomaly detection,Insight1,1,627989,58.565,645,Agree,6
97,Coreflow,Trauma,Anomaly detection,Insight2,1,627989,16.189,645,Agree,6
97,Sententree,Trauma,Anomaly detection,Insight2,1,627989,30.515,645,Agree,6
97,Sententree,Trauma,Anomaly detection,Insight3,1,627989,53.162,645,Agree,6
98,Sententree,Trauma,Anomaly detection,Insight1,1,842739,51.283,579,Agree,6
98,SeqSynopsis,Trauma,Anomaly detection,Insight1,1,842739,15.732,579,Agree,6
99,Coreflow,Trauma,Anomaly detection,Insight1,1,504608,117.51,1236,Agree,6
99,Sententree,Trauma,Anomaly detection,Insight1,1,504608,117.115,1236,Agree,6
99,Coreflow,Trauma,Anomaly detection,Insight2,1,504608,95.078,1236,Agree,6
99,Sententree,Trauma,Anomaly detection,Insight2,1,504608,62.241,1236,Agree,6
99,Coreflow,Trauma,Anomaly detection,Insight3,1,504608,66.184,1236,Agree,6
100,Sententree,Trauma,Anomaly detection,Insight1,1,241193,126.754,2042,Agree,6
100,Sententree,Trauma,Anomaly detection,Insight2,1,241193,13.232,2042,Agree,6
100,Sententree,Trauma,Anomaly detection,Insight3,1,241193,18.116,2042,Agree,6
101,Coreflow,Trauma,Anomaly detection,Insight2,2,592701,15.316,618,Agree,6
101,SeqSynopsis,Trauma,Anomaly detection,Insight2,2,592701,10.964,618,Agree,6
102,SeqSynopsis,Trauma,Anomaly detection,Insight2,2,311949,18.724,1088,Agree,6
103,Sententree,Trauma,Anomaly detection,Insight1,2,209726,31.352,348,Agree,6
104,Sententree,Trauma,Anomaly detection,Insight3,2,837994,10.79,517,Agree,6
105,SeqSynopsis,Trauma,Anomaly detection,Insight1,2,686815,104.784,706,Agree,6
105,Sententree,Trauma,Anomaly detection,Insight3,2,686815,14.43,706,Agree,6
108,Sententree,Trauma,Anomaly detection,Insight1,3,379039,25.267,795,Agree,6
109,Coreflow,Trauma,Anomaly detection,Insight2,3,821047,21.198,453,Agree,6
109,SeqSynopsis,Trauma,Anomaly detection,Insight2,3,821047,10.961,453,Agree,6
110,Sententree,Trauma,Anomaly detection,Insight1,3,522363,65.22,644,Agree,6
110,SeqSynopsis,Trauma,Anomaly detection,Insight1,3,522363,17.049,644,Agree,6
110,Coreflow,Trauma,Anomaly detection,Insight2,3,522363,14.912,644,Agree,6
110,Sententree,Trauma,Anomaly detection,Insight2,3,522363,26.584,644,Agree,6
111,SeqSynopsis,Trauma,Anomaly detection,Insight1,4,861668,15.58,415,Agree,6
113,Coreflow,Trauma,Anomaly detection,Insight2,4,749215,42.838,1448,Agree,6
113,SeqSynopsis,Trauma,Anomaly detection,Insight2,4,749215,22.601,1448,Agree,6
115,Coreflow,Trauma,Anomaly detection,Insight2,4,324067,37.357,1437,Agree,6
115,Sententree,Trauma,Anomaly detection,Insight2,4,324067,36.301,1437,Agree,6
116,SeqSynopsis,Trauma,Anomaly detection,Insight2,5,448071,30.435,520,Agree,6
116,Sententree,Trauma,Anomaly detection,Insight3,5,448071,18.081,520,Agree,6
117,SeqSynopsis,Trauma,Anomaly detection,Insight2,5,507682,26.94,694,Agree,6
118,Coreflow,Trauma,Anomaly detection,Insight2,5,671525,19.436,505,Agree,6
118,SeqSynopsis,Trauma,Anomaly detection,Insight2,5,671525,11.122,505,Agree,6
118,Sententree,Trauma,Anomaly detection,Insight3,5,671525,38.193,505,Agree,6
121,Sententree,VAST,Clustering,Insight1,0,877557,214.065,1657,Agree,6
121,Sententree,VAST,Clustering,Insight2,0,877557,146.999,1657,Agree,6
121,Sententree,VAST,Clustering,Insight3,0,877557,26.16,1657,Agree,6
124,SeqSynopsis,VAST,Clustering,Insight2,0,284038,509.823,2319,Agree,6
128,SeqSynopsis,VAST,Clustering,Insight1,1,292165,97.351,760,Agree,6
130,SeqSynopsis,VAST,Clustering,Insight3,1,794252,26.694,523,Agree,6
133,SeqSynopsis,VAST,Clustering,Insight3,2,817913,33.784,439,Agree,6
134,SeqSynopsis,VAST,Clustering,Insight3,2,352685,113.266,1554,Agree,6
135,Coreflow,VAST,Clustering,Insight1,2,585283,20.594,1004,Agree,6
135,Sententree,VAST,Clustering,Insight3,2,585283,10.698,1004,Agree,6
137,SeqSynopsis,VAST,Clustering,Insight3,3,334343,43.556,805,Agree,6
138,SeqSynopsis,VAST,Clustering,Insight1,3,272497,168.911,1308,Agree,6
139,SeqSynopsis,VAST,Clustering,Insight1,3,605587,96.557,1540,Agree,6
140,SeqSynopsis,VAST,Clustering,Insight3,3,597446,18.826,3215,Agree,6
141,SeqSynopsis,VAST,Clustering,Insight2,4,989677,11.087,997,Agree,6
141,SeqSynopsis,VAST,Clustering,Insight3,4,989677,23.148,997,Agree,6
149,SeqSynopsis,VAST,Clustering,Insight1,5,395991,77.022,385,Agree,6
149,Coreflow,VAST,Clustering,Insight2,5,395991,16.513,385,Agree,6
149,SeqSynopsis,VAST,Clustering,Insight3,5,395991,11.412,385,Agree,6
151,Sententree,Workflow,Clustering,Insight1,0,268302,67.239,1331,Agree,6
151,Sententree,Workflow,Clustering,Insight3,0,268302,59.625,1331,Agree,6
151,SeqSynopsis,Workflow,Clustering,Insight3,0,268302,75.959,1331,Agree,6
154,SeqSynopsis,Workflow,Clustering,Insight1,0,697353,72.105,1296,Agree,6
154,Sententree,Workflow,Clustering,Insight2,0,697353,12.357,1296,Agree,6
154,Coreflow,Workflow,Clustering,Insight3,0,697353,32.929,1296,Agree,6
155,Coreflow,Workflow,Clustering,Insight1,0,625388,312.286,3517,Agree,6
155,SeqSynopsis,Workflow,Clustering,Insight1,0,625388,35.156,3517,Agree,6
155,Sententree,Workflow,Clustering,Insight3,0,625388,24.485,3517,Agree,6
155,SeqSynopsis,Workflow,Clustering,Insight3,0,625388,29.054,3517,Agree,6
157,Coreflow,Workflow,Clustering,Insight3,1,783946,120.882,2238,Agree,6
158,Sententree,Workflow,Clustering,Insight1,1,895917,58.42,2903,Agree,6
158,Sententree,Workflow,Clustering,Insight3,1,895917,167.457,2903,Agree,6
160,Sententree,Workflow,Clustering,Insight1,1,671073,21.613,873,Agree,6
160,SeqSynopsis,Workflow,Clustering,Insight1,1,671073,20.493,873,Agree,6
160,Coreflow,Workflow,Clustering,Insight2,1,671073,21.318,873,Agree,6
160,Coreflow,Workflow,Clustering,Insight3,1,671073,11.326,873,Agree,6
160,Sententree,Workflow,Clustering,Insight3,1,671073,15.735,873,Agree,6
160,SeqSynopsis,Workflow,Clustering,Insight3,1,671073,17.177,873,Agree,6
161,Coreflow,Workflow,Clustering,Insight1,2,564587,66.072,953,Agree,6
161,Sententree,Workflow,Clustering,Insight1,2,564587,20.203,953,Agree,6
161,Sententree,Workflow,Clustering,Insight2,2,564587,11.305,953,Agree,6
161,Coreflow,Workflow,Clustering,Insight3,2,564587,39.877,953,Agree,6
161,Sententree,Workflow,Clustering,Insight3,2,564587,39.808,953,Agree,6
162,SeqSynopsis,Workflow,Clustering,Insight2,2,967871,14.067,246,Agree,6
162,SeqSynopsis,Workflow,Clustering,Insight3,2,967871,11.828,246,Agree,6
166,SeqSynopsis,Workflow,Clustering,Insight1,3,582184,75.535,624,Agree,6
167,SeqSynopsis,Workflow,Clustering,Insight2,3,275849,113.485,1372,Agree,6
167,Coreflow,Workflow,Clustering,Insight3,3,275849,53.104,1372,Agree,6
170,Sententree,Workflow,Clustering,Insight2,3,162851,11.222,2492,Agree,6
171,Coreflow,Workflow,Clustering,Insight1,4,912559,17.532,323,Agree,6
171,Sententree,Workflow,Clustering,Insight2,4,912559,11.901,323,Agree,6
171,SeqSynopsis,Workflow,Clustering,Insight2,4,912559,11.424,323,Agree,6
171,Coreflow,Workflow,Clustering,Insight3,4,912559,32.101,323,Agree,6
171,Sententree,Workflow,Clustering,Insight3,4,912559,11.411,323,Agree,6
172,SeqSynopsis,Workflow,Clustering,Insight3,4,116613,28.237,592,Agree,6
174,Coreflow,Workflow,Clustering,Insight1,4,541363,218.175,6007,Agree,6
174,Sententree,Workflow,Clustering,Insight1,4,541363,48.45,6007,Agree,6
174,SeqSynopsis,Workflow,Clustering,Insight1,4,541363,87.912,6007,Agree,6
174,SeqSynopsis,Workflow,Clustering,Insight3,4,541363,132.012,6007,Agree,6
175,SeqSynopsis,Workflow,Clustering,Insight3,4,870860,46.815,1769,Agree,6
178,SeqSynopsis,Workflow,Clustering,Insight3,5,505004,162.716,1634,Agree,6
179,Sententree,Workflow,Clustering,Insight1,5,679103,16.869,382,Agree,6
179,SeqSynopsis,Workflow,Clustering,Insight1,5,679103,59.656,382,Agree,6
179,Sententree,Workflow,Clustering,Insight3,5,679103,12.354,382,Agree,6
180,Sententree,Workflow,Clustering,Insight1,5,627801,28.37,659,Agree,6
180,SeqSynopsis,Workflow,Clustering,Insight1,5,627801,59.746,659,Agree,6
180,SeqSynopsis,Workflow,Clustering,Insight3,5,627801,33.358,659,Agree,6
2,Sententree,Basketball,Common pattern,Insight1,0,775671,145.24,904,Disagree,2
2,Sententree,Basketball,Common pattern,Insight2,0,775671,33.074,904,Disagree,2
2,SeqSynopsis,Basketball,Common pattern,Insight2,0,775671,104.911,904,Disagree,2
2,Sententree,Basketball,Common pattern,Insight3,0,775671,29.926,904,Disagree,2
2,SeqSynopsis,Basketball,Common pattern,Insight3,0,775671,54.209,904,Disagree,2
3,Coreflow,Basketball,Common pattern,Insight1,0,271966,171.497,1439,Disagree,2
3,Coreflow,Basketball,Common pattern,Insight2,0,271966,98.533,1439,Disagree,2
3,Sententree,Basketball,Common pattern,Insight3,0,271966,118.153,1439,Disagree,2
3,SeqSynopsis,Basketball,Common pattern,Insight3,0,271966,45.633,1439,Disagree,2
4,Coreflow,Basketball,Common pattern,Insight1,0,287754,30.274,786,Disagree,2
4,Sententree,Basketball,Common pattern,Insight1,0,287754,41.521,786,Disagree,2
4,Coreflow,Basketball,Common pattern,Insight2,0,287754,38.992,786,Disagree,2
4,Sententree,Basketball,Common pattern,Insight2,0,287754,34.611,786,Disagree,2
4,SeqSynopsis,Basketball,Common pattern,Insight2,0,287754,39.977,786,Disagree,2
4,Coreflow,Basketball,Common pattern,Insight3,0,287754,34.226,786,Disagree,2
4,Sententree,Basketball,Common pattern,Insight3,0,287754,40.498,786,Disagree,2
4,SeqSynopsis,Basketball,Common pattern,Insight3,0,287754,51.079,786,Disagree,2
5,SeqSynopsis,Basketball,Common pattern,Insight3,0,271356,50.096,1151,Disagree,2
6,Coreflow,Basketball,Common pattern,Insight1,1,672165,43.274,1123,Disagree,2
6,Coreflow,Basketball,Common pattern,Insight2,1,672165,42.039,1123,Disagree,2
6,SeqSynopsis,Basketball,Common pattern,Insight3,1,672165,65.504,1123,Disagree,2
7,Sententree,Basketball,Common pattern,Insight1,1,192867,91.791,1144,Disagree,2
7,Coreflow,Basketball,Common pattern,Insight2,1,192867,112.097,1144,Disagree,2
7,Sententree,Basketball,Common pattern,Insight3,1,192867,55.061,1144,Disagree,2
8,Sententree,Basketball,Common pattern,Insight1,1,555932,21.327,386,Disagree,2
8,Coreflow,Basketball,Common pattern,Insight3,1,555932,24.367,386,Disagree,2
10,Coreflow,Basketball,Common pattern,Insight1,1,248103,50.417,1630,Disagree,2
10,Sententree,Basketball,Common pattern,Insight1,1,248103,171.072,1630,Disagree,2
10,Coreflow,Basketball,Common pattern,Insight2,1,248103,57.132,1630,Disagree,2
10,Coreflow,Basketball,Common pattern,Insight3,1,248103,53.045,1630,Disagree,2
10,Sententree,Basketball,Common pattern,Insight3,1,248103,49.902,1630,Disagree,2
10,SeqSynopsis,Basketball,Common pattern,Insight3,1,248103,118.154,1630,Disagree,2
12,Sententree,Basketball,Common pattern,Insight1,2,690096,25.826,491,Disagree,2
12,Sententree,Basketball,Common pattern,Insight2,2,690096,11.933,491,Disagree,2
12,Sententree,Basketball,Common pattern,Insight3,2,690096,14.017,491,Disagree,2
12,SeqSynopsis,Basketball,Common pattern,Insight3,2,690096,25.073,491,Disagree,2
13,Sententree,Basketball,Common pattern,Insight1,2,640398,57.186,881,Disagree,2
13,Coreflow,Basketball,Common pattern,Insight2,2,640398,22.495,881,Disagree,2
13,SeqSynopsis,Basketball,Common pattern,Insight2,2,640398,45.341,881,Disagree,2
13,SeqSynopsis,Basketball,Common pattern,Insight3,2,640398,53.396,881,Disagree,2
14,Coreflow,Basketball,Common pattern,Insight1,2,377131,38.598,511,Disagree,2
14,Sententree,Basketball,Common pattern,Insight1,2,377131,46.351,511,Disagree,2
14,Coreflow,Basketball,Common pattern,Insight2,2,377131,32.751,511,Disagree,2
14,Sententree,Basketball,Common pattern,Insight2,2,377131,15.155,511,Disagree,2
14,Sententree,Basketball,Common pattern,Insight3,2,377131,13.566,511,Disagree,2
14,SeqSynopsis,Basketball,Common pattern,Insight3,2,377131,38.613,511,Disagree,2
15,Sententree,Basketball,Common pattern,Insight1,2,495783,75.746,2271,Disagree,2
15,SeqSynopsis,Basketball,Common pattern,Insight2,2,495783,163.875,2271,Disagree,2
16,Sententree,Basketball,Common pattern,Insight1,3,643146,31.331,479,Disagree,2
16,SeqSynopsis,Basketball,Common pattern,Insight1,3,643146,35.865,479,Disagree,2
16,Sententree,Basketball,Common pattern,Insight2,3,643146,14.114,479,Disagree,2
16,Coreflow,Basketball,Common pattern,Insight3,3,643146,48.337,479,Disagree,2
16,Sententree,Basketball,Common pattern,Insight3,3,643146,30.101,479,Disagree,2
17,SeqSynopsis,Basketball,Common pattern,Insight1,3,988075,48.018,352,Disagree,2
18,Sententree,Basketball,Common pattern,Insight1,3,795497,44.869,721,Disagree,2
18,Coreflow,Basketball,Common pattern,Insight2,3,795497,31.681,721,Disagree,2
18,SeqSynopsis,Basketball,Common pattern,Insight2,3,795497,40.036,721,Disagree,2
19,Coreflow,Basketball,Common pattern,Insight1,3,305085,18.539,897,Disagree,2
19,Coreflow,Basketball,Common pattern,Insight2,3,305085,29.46,897,Disagree,2
19,Sententree,Basketball,Common pattern,Insight2,3,305085,29.115,897,Disagree,2
19,Coreflow,Basketball,Common pattern,Insight3,3,305085,31.696,897,Disagree,2
19,Sententree,Basketball,Common pattern,Insight3,3,305085,58.556,897,Disagree,2
20,Sententree,Basketball,Common pattern,Insight3,3,286921,14.855,616,Disagree,2
21,SeqSynopsis,Basketball,Common pattern,Insight2,4,202134,35.208,476,Disagree,2
22,Coreflow,Basketball,Common pattern,Insight1,4,911792,28.627,738,Disagree,2
22,Sententree,Basketball,Common pattern,Insight1,4,911792,57.003,738,Disagree,2
22,Coreflow,Basketball,Common pattern,Insight3,4,911792,18.165,738,Disagree,2
22,Sententree,Basketball,Common pattern,Insight3,4,911792,28.113,738,Disagree,2
23,Sententree,Basketball,Common pattern,Insight2,4,765509,11.766,389,Disagree,2
24,Coreflow,Basketball,Common pattern,Insight1,4,489301,47.241,2884,Disagree,2
24,Coreflow,Basketball,Common pattern,Insight2,4,489301,28.109,2884,Disagree,2
24,Sententree,Basketball,Common pattern,Insight2,4,489301,37.908,2884,Disagree,2
24,SeqSynopsis,Basketball,Common pattern,Insight2,4,489301,103.482,2884,Disagree,2
24,Coreflow,Basketball,Common pattern,Insight3,4,489301,11.769,2884,Disagree,2
25,Sententree,Basketball,Common pattern,Insight3,4,834426,29.572,1582,Disagree,2
25,SeqSynopsis,Basketball,Common pattern,Insight3,4,834426,90.271,1582,Disagree,2
26,Coreflow,Basketball,Common pattern,Insight1,5,336299,21.208,1035,Disagree,2
26,SeqSynopsis,Basketball,Common pattern,Insight1,5,336299,87.873,1035,Disagree,2
26,Coreflow,Basketball,Common pattern,Insight2,5,336299,320.984,1035,Disagree,2
26,Sententree,Basketball,Common pattern,Insight2,5,336299,48.085,1035,Disagree,2
26,Coreflow,Basketball,Common pattern,Insight3,5,336299,15.291,1035,Disagree,2
26,SeqSynopsis,Basketball,Common pattern,Insight3,5,336299,40.579,1035,Disagree,2
27,Sententree,Basketball,Common pattern,Insight3,5,855937,19.796,299,Disagree,2
27,SeqSynopsis,Basketball,Common pattern,Insight3,5,855937,15.248,299,Disagree,2
28,Coreflow,Basketball,Common pattern,Insight2,5,604998,13.583,516,Disagree,2
33,Coreflow,Career,Anomaly detection,Insight1,0,563177,15.554,404,Disagree,2
33,SeqSynopsis,Career,Anomaly detection,Insight1,0,563177,29.19,404,Disagree,2
33,Coreflow,Career,Anomaly detection,Insight2,0,563177,14.843,404,Disagree,2
33,Sententree,Career,Anomaly detection,Insight2,0,563177,28.348,404,Disagree,2
33,Sententree,Career,Anomaly detection,Insight3,0,563177,19.569,404,Disagree,2
33,SeqSynopsis,Career,Anomaly detection,Insight3,0,563177,12.821,404,Disagree,2
34,Coreflow,Career,Anomaly detection,Insight2,0,325690,39.894,477,Disagree,2
